      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_none  Min_none  Max_none   SD_none  Avg_draft Min_draft Max_draft  SD_draft
    USSUB-DG       1986b   6100057   1986  105.0  105.0  105.0      4   85.15 -141.46   85.00   85.30 -141.60 -141.31     33     33878   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.93      0.00     24.65      2.89
    USSUB-DG       1986b   6100058   1986  105.0  105.0  105.0      4   85.60 -141.30   85.40   85.80 -141.40 -141.21     49     49970   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.86      0.00     23.41      3.37
    USSUB-DG       1986b   6100059   1986  105.0  105.0  105.0      4   86.00 -141.53   85.80   86.20 -141.90 -141.17     38     38641   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      6.09      0.00     31.73      3.63
    USSUB-DG       1986b   6100060   1986  105.0  105.0  105.0      4   86.45 -140.85   86.20   86.70 -140.90 -140.81     49     49947   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.00      0.40     23.81      2.81
    USSUB-DG       1986b   6100061   1986  105.0  105.0  105.0      4   86.90 -140.71   86.70   87.10 -140.80 -140.61     50     50267   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.83      0.27     30.24      3.30
    USSUB-DG       1986b   6100062   1986  105.0  105.0  105.0      4   87.25 -140.51   87.10   87.40 -140.60 -140.41     29     29366   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.24      0.23     25.32      2.80
    USSUB-DG       1986b   6100063   1986  105.0  105.0  105.0      4   87.70 -135.14   87.50   87.90 -138.20 -132.08     49     49837   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.00      0.13     27.91      2.95
    USSUB-DG       1986b   6100064   1986  105.0  105.0  105.0      4   88.06 -127.21   87.90   88.20 -131.50 -122.92     49     49989   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.02      0.00     26.09      3.27
    USSUB-DG       1986b   6100065   1986  105.0  105.0  105.0      4   88.36 -116.34   88.20   88.50 -122.20 -110.48     49     49993   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.79      0.41     25.77      2.94
    USSUB-DG       1986b   6100066   1986  105.0  105.0  105.0      4   88.56 -104.38   88.50   88.60 -109.30  -99.45     30     30655   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.25      0.00     23.38      2.71
