      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_frbrd Min_frbrd Max_frbrd  SD_frbrd Avg_thkns Min_thkns Max_thkns  SD_thkns
   ICESAT1-G          3d  11000057   2005  311.8  299.0  324.0     11   74.74 -161.76   74.51   75.01 -162.58 -160.92    134       794   -999.00   -999.00   -999.00   -999.00      0.26      0.00      1.00      0.14      1.32      0.00      8.17      1.13
   ICESAT1-G          3d  11000058   2005  314.9  299.0  324.0     11   74.90 -163.05   74.63   75.16 -164.09 -162.30    139       820   -999.00   -999.00   -999.00   -999.00      0.29      0.00      0.81      0.14      1.56      0.00      6.32      1.21
   ICESAT1-G          3d  11000059   2005  306.5  300.0  325.0     11   75.03 -165.42   74.84   75.27 -165.85 -165.06     93       549   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.59      0.10      0.77      0.00      4.23      0.69
   ICESAT1-G          3d  11000060   2005  317.4  300.0  325.0     11   75.15 -166.56   74.90   75.40 -167.56 -165.60    114       675   -999.00   -999.00   -999.00   -999.00      0.19      0.00      0.61      0.10      0.73      0.00      4.40      0.75
   ICESAT1-G          3d  11000061   2005  324.0  316.0  327.0     11   75.40 -172.24   75.16   75.64 -172.83 -171.82    104       614   -999.00   -999.00   -999.00   -999.00      0.13      0.00      0.37      0.07      0.37      0.00      2.09      0.29
   ICESAT1-G          3d  11000062   2005  313.4  300.0  319.0     11   75.45 -173.28   75.21   75.69 -174.56 -172.69    129       764   -999.00   -999.00   -999.00   -999.00      0.18      0.00      0.69      0.09      0.64      0.00      5.08      0.57
   ICESAT1-G          3d  11000063   2005  317.3  303.0  325.0     11   75.50 -175.27   75.26   75.72 -176.31 -174.59    110       651   -999.00   -999.00   -999.00   -999.00      0.21      0.01      0.65      0.18      1.09      0.02      4.74      1.39
   ICESAT1-G          3d  11000064   2005  316.9  313.0  321.0     11   75.54 -179.11   75.31   75.76 -180.00 -178.30    112       661   -999.00   -999.00   -999.00   -999.00      0.19      0.00      0.55      0.10      0.67      0.00      3.72      0.61
   ICESAT1-G          3d  11000065   2005  307.3  298.0  326.0     11   75.11  166.62   74.89   75.40  165.84  167.58    109       646   -999.00   -999.00   -999.00   -999.00      0.19      0.00      0.86      0.12      0.71      0.00      6.56      0.83
   ICESAT1-G          3d  11000066   2005  310.6  299.0  327.0     11   75.02  164.45   74.75   75.22  163.87  164.85     99       587   -999.00   -999.00   -999.00   -999.00      0.27      0.00      0.76      0.12      1.14      0.00      5.63      0.88
